"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","year_filed","scdb_id","stingsAsFactors"
"justice brennan","concurring",FALSE,"Beck v. Alabama",1980-06-20,"447 U.S. 625",1980,"1979-129",FALSE
"justice rehnquist","dissenting",FALSE,"Beck v. Alabama",1980-06-20,"447 U.S. 625",1980,"1979-129",FALSE
"justice blackmun","majority",FALSE,"Graham v. Richardson",1971-06-14,"403 U.S. 365",1971,"1970-134",FALSE
"justice white","majority",FALSE,"James v. Kentucky",1984-06-25,"466 U.S. 341",1984,"1983-073",FALSE
"justice o'connor","majority",FALSE,"Bailey v. United States",1995-12-06,"516 U.S. 137",1995,"1995-011",FALSE
"justice stewart","majority",FALSE,"United States v. Enmons",1973-02-22,"410 U.S. 396",1973,"1972-058",FALSE
"justice blackmun","concurring",FALSE,"United States v. Enmons",1973-02-22,"410 U.S. 396",1973,"1972-058",FALSE
"justice douglas","dissenting",FALSE,"United States v. Enmons",1973-02-22,"410 U.S. 396",1973,"1972-058",FALSE
"justice blackmun","majority",FALSE,"Dowling v. United States",1985-06-28,"473 U.S. 207",1985,"1984-153",FALSE
"justice powell","dissenting",FALSE,"Dowling v. United States",1985-06-28,"473 U.S. 207",1985,"1984-153",FALSE
"justice white","majority",FALSE,"Barefoot v. Estelle",1983-07-06,"463 U.S. 880",1983,"1982-160",FALSE
"justice stevens","concurring",FALSE,"Barefoot v. Estelle",1983-07-06,"463 U.S. 880",1983,"1982-160",FALSE
"justice marshall","dissenting",FALSE,"Barefoot v. Estelle",1983-07-06,"463 U.S. 880",1983,"1982-160",FALSE
"justice blackmun","second_dissenting",FALSE,"Barefoot v. Estelle",1983-07-06,"463 U.S. 880",1983,"1982-160",FALSE
"justice blackmun","majority",FALSE,"Donaldson v. United States",1971-01-25,"400 U.S. 517",1971,"1970-030",FALSE
"justice douglas","concurring",FALSE,"Donaldson v. United States",1971-01-25,"400 U.S. 517",1971,"1970-030",FALSE
"justice blackmun","majority",FALSE,"Thor Power Tool Co. v. Commissioner",1979-01-16,"439 U.S. 522",1979,"1978-032",FALSE
"justice brennan","majority",FALSE,"Board of Pardons v. Allen",1987-06-09,"482 U.S. 369",1987,"1986-120",FALSE
