"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","year_filed","scdb_id","stingsAsFactors"
"justice scalia","majority",FALSE,"Lucas v. South Carolina Coastal Council",1992-06-29,"505 U.S. 1003",1992,"1991-118",FALSE
"justice kennedy","concurring",FALSE,"Lucas v. South Carolina Coastal Council",1992-06-29,"505 U.S. 1003",1992,"1991-118",FALSE
"justice blackmun","dissenting",FALSE,"Lucas v. South Carolina Coastal Council",1992-06-29,"505 U.S. 1003",1992,"1991-118",FALSE
"justice stevens","second_dissenting",FALSE,"Lucas v. South Carolina Coastal Council",1992-06-29,"505 U.S. 1003",1992,"1991-118",FALSE
"justice ginsburg","majority",FALSE,"Astrue v. Capato",2012-05-21,"132 S. Ct. 2021",2012,"2011-054",FALSE
"justice brennan","majority",FALSE,"Department of Air Force v. Rose",1976-04-21,"425 U.S. 352",1976,"1975-079",FALSE
"justice burger","dissenting",FALSE,"Department of Air Force v. Rose",1976-04-21,"425 U.S. 352",1976,"1975-079",FALSE
"justice blackmun","second_dissenting",FALSE,"Department of Air Force v. Rose",1976-04-21,"425 U.S. 352",1976,"1975-079",FALSE
"justice souter","majority",FALSE,"Geissal v. Moore Medical Corp.",1998-06-08,"524 U.S. 74",1998,"1997-077",FALSE
"justice blackmun","majority",FALSE,"Fall River Dyeing & Finishing Corp. v. NLRB",1987-06-01,"482 U.S. 27",1987,"1986-108",FALSE
"justice powell","dissenting",FALSE,"Fall River Dyeing & Finishing Corp. v. NLRB",1987-06-01,"482 U.S. 27",1987,"1986-108",FALSE
"justice brennan","majority",FALSE,"Marquette Nat. Bank v. First of Omaha Corp.",1978-12-18,"439 U.S. 299",1978,"1978-020",FALSE
